,a,grammatical,b
430,There spilled from the cave a sticky fluid.,1,A sticky fluid spilled from the cave.
431,There spilled from the oven a sticky fluid.,1,A sticky fluid spilled from the oven.
432,There spilled from the hole a putrid smell.,1,A putrid smell spilled from the hole.
433,There spilled from the container a putrid smell.,1,A putrid smell spilled from the container.
434,There spilled from the cave a putrid smell.,1,A putrid smell spilled from the cave.
435,There spilled from the oven a putrid smell.,1,A putrid smell spilled from the oven.
436,There spilled from the hole a fine mist.,1,A fine mist spilled from the hole.
437,There spilled from the container a fine mist.,1,A fine mist spilled from the container.
438,There spilled from the cave a fine mist.,1,A fine mist spilled from the cave.
439,There spilled from the oven a fine mist.,1,A fine mist spilled from the oven.
440,There appeared from the cave a bright light.,1,A bright light appeared from the cave.
441,There appeared from the room a bright light.,1,A bright light appeared from the room.
442,There appeared from the hole a bright light.,1,A bright light appeared from the hole.
443,There appeared from the cave a loud noise.,1,A loud noise appeared from the cave.
444,There appeared from the room a loud noise.,1,A loud noise appeared from the room.
445,There appeared from the hole a loud noise.,1,A loud noise appeared from the hole.
446,There appeared from the cave a giant wave.,1,A giant wave appeared from the cave.
447,There appeared from the room a giant wave.,1,A giant wave appeared from the room.
448,There appeared from the hole a giant wave.,1,A giant wave appeared from the hole.
449,There burst from the cave a bright light.,1,A bright light burst from the cave.
450,There burst from the room a bright light.,1,A bright light burst from the room.
451,There burst from the hole a bright light.,1,A bright light burst from the hole.
452,There burst from the cave a loud noise.,1,A loud noise burst from the cave.
453,There burst from the room a loud noise.,1,A loud noise burst from the room.
454,There burst from the hole a loud noise.,1,A loud noise burst from the hole.
455,There burst from the cave a giant wave.,1,A giant wave burst from the cave.
456,There burst from the room a giant wave.,1,A giant wave burst from the room.
457,There burst from the hole a giant wave.,1,A giant wave burst from the hole.
458,There surged from the cave a bright light.,1,A bright light surged from the cave.
459,There surged from the room a bright light.,1,A bright light surged from the room.
460,There surged from the hole a bright light.,1,A bright light surged from the hole.
461,There surged from the cave a loud noise.,1,A loud noise surged from the cave.
462,There surged from the room a loud noise.,1,A loud noise surged from the room.
463,There surged from the hole a loud noise.,1,A loud noise surged from the hole.
464,There surged from the cave a giant wave.,1,A giant wave surged from the cave.
465,There surged from the room a giant wave.,1,A giant wave surged from the room.
466,There surged from the hole a giant wave.,1,A giant wave surged from the hole.
467,There began after the meal a series of mistakes.,1,A series of mistakes began after the meal.
468,There began in the next few months a series of mistakes.,1,A series of mistakes began in the next few months.
469,There began after the meal a long speech.,1,A long speech began after the meal.
470,There began in the next few months a long speech.,1,A long speech began in the next few months.
471,There began after the meal an investigation.,1,An investigation began after the meal.
472,There began in the next few months an investigation.,1,An investigation began in the next few months.
473,There ensued after the meal a series of mistakes.,1,A series of mistakes ensued after the meal.
474,There ensued in the next few months a series of mistakes.,1,A series of mistakes ensued in the next few months.
475,There ensued after the meal a long speech.,1,A long speech ensued after the meal.
476,There ensued in the next few months a long speech.,1,A long speech ensued in the next few months.
477,There ensued after the meal an investigation.,1,An investigation ensued after the meal.
478,There ensued in the next few months an investigation.,1,An investigation ensued in the next few months.
479,There occurred after the meal a series of mistakes.,1,A series of mistakes occurred after the meal.
480,There occurred in the next few months a series of mistakes.,1,A series of mistakes occurred in the next few months.
481,There occurred after the meal a long speech.,1,A long speech occurred after the meal.
482,There occurred in the next few months a long speech.,1,A long speech occurred in the next few months.
483,There occurred after the meal an investigation.,1,An investigation occurred after the meal.
484,There occurred in the next few months an investigation.,1,An investigation occurred in the next few months.
485,There followed after the meal a series of mistakes.,1,A series of mistakes followed after the meal.
486,There followed in the next few months a series of mistakes.,1,A series of mistakes followed in the next few months.
487,There followed after the meal a long speech.,1,A long speech followed after the meal.
488,There followed in the next few months a long speech.,1,A long speech followed in the next few months.
489,There followed after the meal an investigation.,1,An investigation followed after the meal.
490,There followed in the next few months an investigation.,1,An investigation followed in the next few months.
491,There graduated from the university a student.,1,A student graduated from the university.
492,There graduated from college a student.,1,A student graduated from college.
493,There graduated from the university a senior.,1,A senior graduated from the university.
494,There graduated from college a senior.,1,A senior graduated from college.
495,There flunked out from the university a student.,1,A student flunked out from the university.
496,There flunked out from college a student.,1,A student flunked out from college.
497,There flunked out from the university a senior.,1,A senior flunked out from the university.
498,There flunked out from college a senior.,1,A senior flunked out from college.
499,There concluded in the morning a play.,1,A play concluded in the morning.
500,There concluded in the auditorium a play.,1,A play concluded in the auditorium.
501,There concluded at the theater a play.,1,A play concluded at the theater.
502,There concluded in the morning a lecture.,1,A lecture concluded in the morning.
503,There concluded in the auditorium a lecture.,1,A lecture concluded in the auditorium.
504,There concluded at the theater a lecture.,1,A lecture concluded at the theater.
505,There concluded in the morning a movie.,1,A movie concluded in the morning.
506,There concluded in the auditorium a movie.,1,A movie concluded in the auditorium.
507,There concluded at the theater a movie.,1,A movie concluded at the theater.
508,There finished in the morning a play.,1,A play finished in the morning.
509,There finished in the auditorium a play.,1,A play finished in the auditorium.
510,There finished at the theater a play.,1,A play finished at the theater.
511,There finished in the morning a lecture.,1,A lecture finished in the morning.
512,There finished in the auditorium a lecture.,1,A lecture finished in the auditorium.
513,There finished at the theater a lecture.,1,A lecture finished at the theater.
514,There finished in the morning a movie.,1,A movie finished in the morning.
515,There finished in the auditorium a movie.,1,A movie finished in the auditorium.
516,There finished at the theater a movie.,1,A movie finished at the theater.
517,There ended in the morning a play.,1,A play ended in the morning.
518,There ended in the auditorium a play.,1,A play ended in the auditorium.
519,There ended at the theater a play.,1,A play ended at the theater.
520,There ended in the morning a lecture.,1,A lecture ended in the morning.
521,There ended in the auditorium a lecture.,1,A lecture ended in the auditorium.
522,There ended at the theater a lecture.,1,A lecture ended at the theater.
523,There ended in the morning a movie.,1,A movie ended in the morning.
524,There ended in the auditorium a movie.,1,A movie ended in the auditorium.
525,There ended at the theater a movie.,1,A movie ended at the theater.
526,There cracked in the yard a glass.,1,A glass cracked in the yard.
527,There cracked all over the ground a glass.,1,A glass cracked all over the ground.
528,There cracked on john 's head a glass.,1,A glass cracked on john 's head.
529,There cracked in the yard a bowl.,1,A bowl cracked in the yard.
530,There cracked all over the ground a bowl.,1,A bowl cracked all over the ground.
531,There cracked on john 's head a bowl.,1,A bowl cracked on john 's head.
532,There cracked in the yard a window.,1,A window cracked in the yard.
533,There cracked all over the ground a window.,1,A window cracked all over the ground.
534,There cracked on john 's head a window.,1,A window cracked on john 's head.
535,There chipped in the yard a glass.,1,A glass chipped in the yard.
536,There chipped all over the ground a glass.,1,A glass chipped all over the ground.
537,There chipped on john 's head a glass.,1,A glass chipped on john 's head.
538,There chipped in the yard a bowl.,1,A bowl chipped in the yard.
539,There chipped all over the ground a bowl.,1,A bowl chipped all over the ground.
540,There chipped on john 's head a bowl.,1,A bowl chipped on john 's head.
541,There chipped in the yard a window.,1,A window chipped in the yard.
542,There chipped all over the ground a window.,1,A window chipped all over the ground.
543,There chipped on john 's head a window.,1,A window chipped on john 's head.
544,There shattered in the yard a glass.,1,A glass shattered in the yard.
545,There shattered all over the ground a glass.,1,A glass shattered all over the ground.
546,There shattered on john 's head a glass.,1,A glass shattered on john 's head.
547,There shattered in the yard a bowl.,1,A bowl shattered in the yard.
548,There shattered all over the ground a bowl.,1,A bowl shattered all over the ground.
549,There shattered on john 's head a bowl.,1,A bowl shattered on john 's head.
550,There shattered in the yard a window.,1,A window shattered in the yard.
551,There shattered all over the ground a window.,1,A window shattered all over the ground.
552,There shattered on john 's head a window.,1,A window shattered on john 's head.
553,There closed on the second floor a door.,1,A door closed on the second floor.
554,There closed down the street a door.,1,A door closed down the street.
555,There closed in the next room a door.,1,A door closed in the next room.
556,There closed on the second floor a window.,1,A window closed on the second floor.
557,There closed down the street a window.,1,A window closed down the street.
558,There closed in the next room a window.,1,A window closed in the next room.
559,There shut on the second floor a door.,1,A door shut on the second floor.
560,There shut down the street a door.,1,A door shut down the street.
561,There shut in the next room a door.,1,A door shut in the next room.
562,There shut on the second floor a window.,1,A window shut on the second floor.
563,There shut down the street a window.,1,A window shut down the street.
564,There shut in the next room a window.,1,A window shut in the next room.
565,There opened on the second floor a door.,1,A door opened on the second floor.
566,There opened down the street a door.,1,A door opened down the street.
567,There opened in the next room a door.,1,A door opened in the next room.
568,There opened on the second floor a window.,1,A window opened on the second floor.
569,There opened down the street a window.,1,A window opened down the street.
570,There opened in the next room a window.,1,A window opened in the next room.
571,There crashed into the wall a car.,1,A car crashed into the wall.
572,There crashed into the pole a car.,1,A car crashed into the pole.
573,There crashed into the window a car.,1,A car crashed into the window.
574,There crashed into the wall a bicycle.,1,A bicycle crashed into the wall.
575,There crashed into the pole a bicycle.,1,A bicycle crashed into the pole.
576,There crashed into the window a bicycle.,1,A bicycle crashed into the window.
577,There crashed into the wall a bird.,1,A bird crashed into the wall.
578,There crashed into the pole a bird.,1,A bird crashed into the pole.
579,There crashed into the window a bird.,1,A bird crashed into the window.
580,There slammed into the wall a car.,1,A car slammed into the wall.
581,There slammed into the pole a car.,1,A car slammed into the pole.
582,There slammed into the window a car.,1,A car slammed into the window.
583,There slammed into the wall a bicycle.,1,A bicycle slammed into the wall.
584,There slammed into the pole a bicycle.,1,A bicycle slammed into the pole.
585,There slammed into the window a bicycle.,1,A bicycle slammed into the window.
586,There slammed into the wall a bird.,1,A bird slammed into the wall.
587,There slammed into the pole a bird.,1,A bird slammed into the pole.
588,There slammed into the window a bird.,1,A bird slammed into the window.
589,There collided into the wall a car.,1,A car collided into the wall.
590,There collided into the pole a car.,1,A car collided into the pole.
591,There collided into the window a car.,1,A car collided into the window.
592,There collided into the wall a bicycle.,1,A bicycle collided into the wall.
593,There collided into the pole a bicycle.,1,A bicycle collided into the pole.
594,There collided into the window a bicycle.,1,A bicycle collided into the window.
595,There collided into the wall a bird.,1,A bird collided into the wall.
596,There collided into the pole a bird.,1,A bird collided into the pole.
597,There collided into the window a bird.,1,A bird collided into the window.
598,There bumped into the wall a car.,1,A car bumped into the wall.
599,There bumped into the pole a car.,1,A car bumped into the pole.
600,There bumped into the window a car.,1,A car bumped into the window.
601,There bumped into the wall a bicycle.,1,A bicycle bumped into the wall.
602,There bumped into the pole a bicycle.,1,A bicycle bumped into the pole.
603,There bumped into the window a bicycle.,1,A bicycle bumped into the window.
604,There bumped into the wall a bird.,1,A bird bumped into the wall.
605,There bumped into the pole a bird.,1,A bird bumped into the pole.
606,There bumped into the window a bird.,1,A bird bumped into the window.
607,There melted on the floor a glass of water.,1,A glass of water melted on the floor.
608,There melted on the table a glass of water.,1,A glass of water melted on the table.
609,There melted on the streets a glass of water.,1,A glass of water melted on the streets.
610,There melted on the floor a puddle.,1,A puddle melted on the floor.
611,There melted on the table a puddle.,1,A puddle melted on the table.
612,There melted on the streets a puddle.,1,A puddle melted on the streets.
613,There melted on the floor a pile of snow.,1,A pile of snow melted on the floor.
614,There melted on the table a pile of snow.,1,A pile of snow melted on the table.
615,There melted on the streets a pile of snow.,1,A pile of snow melted on the streets.
616,There froze on the floor a glass of water.,1,A glass of water froze on the floor.
617,There froze on the table a glass of water.,1,A glass of water froze on the table.
618,There froze on the streets a glass of water.,1,A glass of water froze on the streets.
619,There froze on the floor a puddle.,1,A puddle froze on the floor.
620,There froze on the table a puddle.,1,A puddle froze on the table.
621,There froze on the streets a puddle.,1,A puddle froze on the streets.
622,There froze on the floor a pile of snow.,1,A pile of snow froze on the floor.
623,There froze on the table a pile of snow.,1,A pile of snow froze on the table.
624,There froze on the streets a pile of snow.,1,A pile of snow froze on the streets.
625,There solidified on the floor a glass of water.,1,A glass of water solidified on the floor.
626,There solidified on the table a glass of water.,1,A glass of water solidified on the table.
627,There solidified on the streets a glass of water.,1,A glass of water solidified on the streets.
628,There solidified on the floor a puddle.,1,A puddle solidified on the floor.
629,There solidified on the table a puddle.,1,A puddle solidified on the table.
630,There solidified on the streets a puddle.,1,A puddle solidified on the streets.
631,There solidified on the floor a pile of snow.,1,A pile of snow solidified on the floor.
632,There solidified on the table a pile of snow.,1,A pile of snow solidified on the table.
633,There solidified on the streets a pile of snow.,1,A pile of snow solidified on the streets.
634,There halted at the intersection a car.,1,A car halted at the intersection.
635,There halted in front of the school a car.,1,A car halted in front of the school.
636,There halted near the pedestrians a car.,1,A car halted near the pedestrians.
637,There halted at the intersection a bicycle.,1,A bicycle halted at the intersection.
638,There halted in front of the school a bicycle.,1,A bicycle halted in front of the school.
639,There halted near the pedestrians a bicycle.,1,A bicycle halted near the pedestrians.
640,There halted at the intersection a bus.,1,A bus halted at the intersection.
641,There halted in front of the school a bus.,1,A bus halted in front of the school.
642,There halted near the pedestrians a bus.,1,A bus halted near the pedestrians.
643,There slowed at the intersection a car.,1,A car slowed at the intersection.
644,There slowed in front of the school a car.,1,A car slowed in front of the school.
645,There slowed near the pedestrians a car.,1,A car slowed near the pedestrians.
646,There slowed at the intersection a bicycle.,1,A bicycle slowed at the intersection.
647,There slowed in front of the school a bicycle.,1,A bicycle slowed in front of the school.
648,There slowed near the pedestrians a bicycle.,1,A bicycle slowed near the pedestrians.
649,There slowed at the intersection a bus.,1,A bus slowed at the intersection.
650,There slowed in front of the school a bus.,1,A bus slowed in front of the school.
651,There slowed near the pedestrians a bus.,1,A bus slowed near the pedestrians.
652,There accelerated at the intersection a car.,1,A car accelerated at the intersection.
653,There accelerated in front of the school a car.,1,A car accelerated in front of the school.
654,There accelerated near the pedestrians a car.,1,A car accelerated near the pedestrians.
655,There accelerated at the intersection a bicycle.,1,A bicycle accelerated at the intersection.
656,There accelerated in front of the school a bicycle.,1,A bicycle accelerated in front of the school.
657,There accelerated near the pedestrians a bicycle.,1,A bicycle accelerated near the pedestrians.
658,There accelerated at the intersection a bus.,1,A bus accelerated at the intersection.
659,There accelerated in front of the school a bus.,1,A bus accelerated in front of the school.
660,There accelerated near the pedestrians a bus.,1,A bus accelerated near the pedestrians.
661,There heated in the oven a glass of water.,1,A glass of water heated in the oven.
662,There heated in the microwave a glass of water.,1,A glass of water heated in the microwave.
663,There heated on the table a glass of water.,1,A glass of water heated on the table.
664,There heated in the oven a plate of food.,1,A plate of food heated in the oven.
665,There heated in the microwave a plate of food.,1,A plate of food heated in the microwave.
666,There heated on the table a plate of food.,1,A plate of food heated on the table.
667,There heated in the oven a casserole.,1,A casserole heated in the oven.
668,There heated in the microwave a casserole.,1,A casserole heated in the microwave.
669,There heated on the table a casserole.,1,A casserole heated on the table.
670,There heated in the oven a meal.,1,A meal heated in the oven.
671,There heated in the microwave a meal.,1,A meal heated in the microwave.
672,There heated on the table a meal.,1,A meal heated on the table.
673,There cooled in the oven a glass of water.,1,A glass of water cooled in the oven.
674,There cooled in the microwave a glass of water.,1,A glass of water cooled in the microwave.
675,There cooled on the table a glass of water.,1,A glass of water cooled on the table.
676,There cooled in the oven a plate of food.,1,A plate of food cooled in the oven.
677,There cooled in the microwave a plate of food.,1,A plate of food cooled in the microwave.
678,There cooled on the table a plate of food.,1,A plate of food cooled on the table.
679,There cooled in the oven a casserole.,1,A casserole cooled in the oven.
680,There cooled in the microwave a casserole.,1,A casserole cooled in the microwave.
681,There cooled on the table a casserole.,1,A casserole cooled on the table.
682,There cooled in the oven a meal.,1,A meal cooled in the oven.
683,There cooled in the microwave a meal.,1,A meal cooled in the microwave.
684,There cooled on the table a meal.,1,A meal cooled on the table.
685,There warmed in the oven a glass of water.,1,A glass of water warmed in the oven.
686,There warmed in the microwave a glass of water.,1,A glass of water warmed in the microwave.
687,There warmed on the table a glass of water.,1,A glass of water warmed on the table.
688,There warmed in the oven a plate of food.,1,A plate of food warmed in the oven.
689,There warmed in the microwave a plate of food.,1,A plate of food warmed in the microwave.
690,There warmed on the table a plate of food.,1,A plate of food warmed on the table.
691,There warmed in the oven a casserole.,1,A casserole warmed in the oven.
692,There warmed in the microwave a casserole.,1,A casserole warmed in the microwave.
693,There warmed on the table a casserole.,1,A casserole warmed on the table.
694,There warmed in the oven a meal.,1,A meal warmed in the oven.
695,There warmed in the microwave a meal.,1,A meal warmed in the microwave.
696,There warmed on the table a meal.,1,A meal warmed on the table.
697,There defrosted in the oven a glass of water.,1,A glass of water defrosted in the oven.
698,There defrosted in the microwave a glass of water.,1,A glass of water defrosted in the microwave.
699,There defrosted on the table a glass of water.,1,A glass of water defrosted on the table.
700,There defrosted in the oven a plate of food.,1,A plate of food defrosted in the oven.
701,There defrosted in the microwave a plate of food.,1,A plate of food defrosted in the microwave.
702,There defrosted on the table a plate of food.,1,A plate of food defrosted on the table.
703,There defrosted in the oven a casserole.,1,A casserole defrosted in the oven.
704,There defrosted in the microwave a casserole.,1,A casserole defrosted in the microwave.
705,There defrosted on the table a casserole.,1,A casserole defrosted on the table.
706,There defrosted in the oven a meal.,1,A meal defrosted in the oven.
707,There defrosted in the microwave a meal.,1,A meal defrosted in the microwave.
708,There defrosted on the table a meal.,1,A meal defrosted on the table.
709,There stomped on a bug a boy.,1,A boy stomped on a bug.
710,There stomped on a button a boy.,1,A boy stomped on a button.
711,There stomped on a frog a boy.,1,A boy stomped on a frog.
712,There stomped on a bug an elephant.,1,An elephant stomped on a bug.
713,There stomped on a button an elephant.,1,An elephant stomped on a button.
714,There stomped on a frog an elephant.,1,An elephant stomped on a frog.
715,There stomped on a bug an exterminator.,1,An exterminator stomped on a bug.
716,There stomped on a button an exterminator.,1,An exterminator stomped on a button.
717,There stomped on a frog an exterminator.,1,An exterminator stomped on a frog.
718,There stepped on a bug a boy.,1,A boy stepped on a bug.
719,There stepped on a button a boy.,1,A boy stepped on a button.
720,There stepped on a frog a boy.,1,A boy stepped on a frog.
721,There stepped on a bug an elephant.,1,An elephant stepped on a bug.
722,There stepped on a button an elephant.,1,An elephant stepped on a button.
723,There stepped on a frog an elephant.,1,An elephant stepped on a frog.
724,There stepped on a bug an exterminator.,1,An exterminator stepped on a bug.
725,There stepped on a button an exterminator.,1,An exterminator stepped on a button.
726,There stepped on a frog an exterminator.,1,An exterminator stepped on a frog.
727,There jumped on a bug a boy.,1,A boy jumped on a bug.
728,There jumped on a button a boy.,1,A boy jumped on a button.
729,There jumped on a frog a boy.,1,A boy jumped on a frog.
730,There jumped on a bug an elephant.,1,An elephant jumped on a bug.
731,There jumped on a button an elephant.,1,An elephant jumped on a button.
732,There jumped on a frog an elephant.,1,An elephant jumped on a frog.
733,There jumped on a bug an exterminator.,1,An exterminator jumped on a bug.
734,There jumped on a button an exterminator.,1,An exterminator jumped on a button.
735,There jumped on a frog an exterminator.,1,An exterminator jumped on a frog.
736,There believed in god a cult.,1,A cult believed in god.
737,There believed in aliens a cult.,1,A cult believed in aliens.
738,There believed in the goodness of people a cult.,1,A cult believed in the goodness of people.
739,There believed in god a preacher.,1,A preacher believed in god.
740,There believed in aliens a preacher.,1,A preacher believed in aliens.
741,There believed in the goodness of people a preacher.,1,A preacher believed in the goodness of people.
742,There believed in god a nice old lady.,1,A nice old lady believed in god.
743,There believed in aliens a nice old lady.,1,A nice old lady believed in aliens.
744,There believed in the goodness of people a nice old lady.,1,A nice old lady believed in the goodness of people.
745,There had faith in god a cult.,1,A cult had faith in god.
746,There had faith in aliens a cult.,1,A cult had faith in aliens.
747,There had faith in the goodness of people a cult.,1,A cult had faith in the goodness of people.
748,There had faith in god a preacher.,1,A preacher had faith in god.
749,There had faith in aliens a preacher.,1,A preacher had faith in aliens.
750,There had faith in the goodness of people a preacher.,1,A preacher had faith in the goodness of people.
751,There had faith in god a nice old lady.,1,A nice old lady had faith in god.
752,There had faith in aliens a nice old lady.,1,A nice old lady had faith in aliens.
753,There had faith in the goodness of people a nice old lady.,1,A nice old lady had faith in the goodness of people.
754,There trusted in god a cult.,1,A cult trusted in god.
755,There trusted in aliens a cult.,1,A cult trusted in aliens.
756,There trusted in the goodness of people a cult.,1,A cult trusted in the goodness of people.
757,There trusted in god a preacher.,1,A preacher trusted in god.
758,There trusted in aliens a preacher.,1,A preacher trusted in aliens.
759,There trusted in the goodness of people a preacher.,1,A preacher trusted in the goodness of people.
760,There trusted in god a nice old lady.,1,A nice old lady trusted in god.
761,There trusted in aliens a nice old lady.,1,A nice old lady trusted in aliens.
762,There trusted in the goodness of people a nice old lady.,1,A nice old lady trusted in the goodness of people.
763,There yelled at the children a teacher.,1,A teacher yelled at the children.
764,There yelled at the crowd a teacher.,1,A teacher yelled at the crowd.
765,There yelled at the pedestrians a teacher.,1,A teacher yelled at the pedestrians.
766,There yelled at the children a parent.,1,A parent yelled at the children.
767,There yelled at the crowd a parent.,1,A parent yelled at the crowd.
768,There yelled at the pedestrians a parent.,1,A parent yelled at the pedestrians.
769,There yelled at the children an old man.,1,An old man yelled at the children.
770,There yelled at the crowd an old man.,1,An old man yelled at the crowd.
771,There yelled at the pedestrians an old man.,1,An old man yelled at the pedestrians.
772,There screamed at the children a teacher.,1,A teacher screamed at the children.
773,There screamed at the crowd a teacher.,1,A teacher screamed at the crowd.
774,There screamed at the pedestrians a teacher.,1,A teacher screamed at the pedestrians.
775,There screamed at the children a parent.,1,A parent screamed at the children.
776,There screamed at the crowd a parent.,1,A parent screamed at the crowd.
777,There screamed at the pedestrians a parent.,1,A parent screamed at the pedestrians.
778,There screamed at the children an old man.,1,An old man screamed at the children.
779,There screamed at the crowd an old man.,1,An old man screamed at the crowd.
780,There screamed at the pedestrians an old man.,1,An old man screamed at the pedestrians.
781,There hollered at the children a teacher.,1,A teacher hollered at the children.
782,There hollered at the crowd a teacher.,1,A teacher hollered at the crowd.
783,There hollered at the pedestrians a teacher.,1,A teacher hollered at the pedestrians.
784,There hollered at the children a parent.,1,A parent hollered at the children.
785,There hollered at the crowd a parent.,1,A parent hollered at the crowd.
786,There hollered at the pedestrians a parent.,1,A parent hollered at the pedestrians.
787,There hollered at the children an old man.,1,An old man hollered at the children.
788,There hollered at the crowd an old man.,1,An old man hollered at the crowd.
789,There hollered at the pedestrians an old man.,1,An old man hollered at the pedestrians.
790,There talked to the children a teacher.,1,A teacher talked to the children.
791,There talked to the crowd a teacher.,1,A teacher talked to the crowd.
792,There talked to the pedestrians a teacher.,1,A teacher talked to the pedestrians.
793,There talked to the children a parent.,1,A parent talked to the children.
794,There talked to the crowd a parent.,1,A parent talked to the crowd.
795,There talked to the pedestrians a parent.,1,A parent talked to the pedestrians.
796,There talked to the children an old man.,1,An old man talked to the children.
797,There talked to the crowd an old man.,1,An old man talked to the crowd.
798,There talked to the pedestrians an old man.,1,An old man talked to the pedestrians.
799,There lectured to the children a teacher.,1,A teacher lectured to the children.
800,There lectured to the crowd a teacher.,1,A teacher lectured to the crowd.
801,There lectured to the pedestrians a teacher.,1,A teacher lectured to the pedestrians.
802,There lectured to the children a parent.,1,A parent lectured to the children.
803,There lectured to the crowd a parent.,1,A parent lectured to the crowd.
804,There lectured to the pedestrians a parent.,1,A parent lectured to the pedestrians.
805,There lectured to the children an old man.,1,An old man lectured to the children.
806,There lectured to the crowd an old man.,1,An old man lectured to the crowd.
807,There lectured to the pedestrians an old man.,1,An old man lectured to the pedestrians.
808,There spoke to the children a teacher.,1,A teacher spoke to the children.
809,There spoke to the crowd a teacher.,1,A teacher spoke to the crowd.
810,There spoke to the pedestrians a teacher.,1,A teacher spoke to the pedestrians.
811,There spoke to the children a parent.,1,A parent spoke to the children.
812,There spoke to the crowd a parent.,1,A parent spoke to the crowd.
813,There spoke to the pedestrians a parent.,1,A parent spoke to the pedestrians.
814,There spoke to the children an old man.,1,An old man spoke to the children.
815,There spoke to the crowd an old man.,1,An old man spoke to the crowd.
816,There spoke to the pedestrians an old man.,1,An old man spoke to the pedestrians.
817,There played at the children a teacher.,1,A teacher played at the children.
818,There played at the crowd a teacher.,1,A teacher played at the crowd.
819,There played at the pedestrians a teacher.,1,A teacher played at the pedestrians.
820,There played at the children a parent.,1,A parent played at the children.
821,There played at the crowd a parent.,1,A parent played at the crowd.
822,There played at the pedestrians a parent.,1,A parent played at the pedestrians.
823,There played at the children an old man.,1,An old man played at the children.
824,There played at the crowd an old man.,1,An old man played at the crowd.
825,There played at the pedestrians an old man.,1,An old man played at the pedestrians.
826,There juggled at the children a teacher.,1,A teacher juggled at the children.
827,There juggled at the crowd a teacher.,1,A teacher juggled at the crowd.
828,There juggled at the pedestrians a teacher.,1,A teacher juggled at the pedestrians.
829,There juggled at the children a parent.,1,A parent juggled at the children.
830,There juggled at the crowd a parent.,1,A parent juggled at the crowd.
831,There juggled at the pedestrians a parent.,1,A parent juggled at the pedestrians.
832,There juggled at the children an old man.,1,An old man juggled at the children.
833,There juggled at the crowd an old man.,1,An old man juggled at the crowd.
834,There juggled at the pedestrians an old man.,1,An old man juggled at the pedestrians.
835,There hollered at the children a teacher.,1,A teacher hollered at the children.
836,There hollered at the crowd a teacher.,1,A teacher hollered at the crowd.
837,There hollered at the pedestrians a teacher.,1,A teacher hollered at the pedestrians.
838,There hollered at the children a parent.,1,A parent hollered at the children.
839,There hollered at the crowd a parent.,1,A parent hollered at the crowd.
840,There hollered at the pedestrians a parent.,1,A parent hollered at the pedestrians.
841,There hollered at the children an old man.,1,An old man hollered at the children.
842,There hollered at the crowd an old man.,1,An old man hollered at the crowd.
843,There hollered at the pedestrians an old man.,1,An old man hollered at the pedestrians.
844,There agreed with the politician a student.,1,A student agreed with the politician.
845,There agreed with the police officer a student.,1,A student agreed with the police officer.
846,There agreed with the complaint a student.,1,A student agreed with the complaint.
847,There agreed with the politician a protester.,1,A protester agreed with the politician.
848,There agreed with the police officer a protester.,1,A protester agreed with the police officer.
849,There agreed with the complaint a protester.,1,A protester agreed with the complaint.
850,There agreed with the politician a committee.,1,A committee agreed with the politician.
851,There agreed with the police officer a committee.,1,A committee agreed with the police officer.
852,There agreed with the complaint a committee.,1,A committee agreed with the complaint.
853,There dealt with the politician a student.,1,A student dealt with the politician.
854,There dealt with the police officer a student.,1,A student dealt with the police officer.
855,There dealt with the complaint a student.,1,A student dealt with the complaint.
856,There dealt with the politician a protester.,1,A protester dealt with the politician.
857,There dealt with the police officer a protester.,1,A protester dealt with the police officer.
858,There dealt with the complaint a protester.,1,A protester dealt with the complaint.
859,There dealt with the politician a committee.,1,A committee dealt with the politician.
860,There dealt with the police officer a committee.,1,A committee dealt with the police officer.
861,There dealt with the complaint a committee.,1,A committee dealt with the complaint.
862,There disagreed with the politician a student.,1,A student disagreed with the politician.
863,There disagreed with the police officer a student.,1,A student disagreed with the police officer.
864,There disagreed with the complaint a student.,1,A student disagreed with the complaint.
865,There disagreed with the politician a protester.,1,A protester disagreed with the politician.
866,There disagreed with the police officer a protester.,1,A protester disagreed with the police officer.
867,There disagreed with the complaint a protester.,1,A protester disagreed with the complaint.
868,There disagreed with the politician a committee.,1,A committee disagreed with the politician.
869,There disagreed with the police officer a committee.,1,A committee disagreed with the police officer.
870,There disagreed with the complaint a committee.,1,A committee disagreed with the complaint.
871,There looked for evidence a little boy.,1,A little boy looked for evidence.
872,There looked for treasure a little boy.,1,A little boy looked for treasure.
873,There looked for the hidden children a little boy.,1,A little boy looked for the hidden children.
874,There looked for evidence an investigator.,1,An investigator looked for evidence.
875,There looked for treasure an investigator.,1,An investigator looked for treasure.
876,There looked for the hidden children an investigator.,1,An investigator looked for the hidden children.
877,There looked for evidence a scientist.,1,A scientist looked for evidence.
878,There looked for treasure a scientist.,1,A scientist looked for treasure.
879,There looked for the hidden children a scientist.,1,A scientist looked for the hidden children.
880,There searched for evidence a little boy.,1,A little boy searched for evidence.
881,There searched for treasure a little boy.,1,A little boy searched for treasure.
882,There searched for the hidden children a little boy.,1,A little boy searched for the hidden children.
883,There searched for evidence an investigator.,1,An investigator searched for evidence.
884,There searched for treasure an investigator.,1,An investigator searched for treasure.
885,There searched for the hidden children an investigator.,1,An investigator searched for the hidden children.
886,There searched for evidence a scientist.,1,A scientist searched for evidence.
887,There searched for treasure a scientist.,1,A scientist searched for treasure.
